MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,price
8.3252,41.0,6.984127,1.023810,322,2.555556,37.88,-122.23,4.526
8.3014,21.0,6.238137,0.971880,2401,2.109842,37.86,-122.22,3.585
7.2574,52.0,8.288136,1.073446,496,2.802260,37.85,-122.24,3.521
5.6431,52.0,5.817352,1.073059,558,2.547945,37.85,-122.25,3.413
3.8462,52.0,6.281853,1.081081,565,2.181467,37.85,-122.25,3.422
4.0368,52.0,4.761658,1.103627,413,2.139896,37.85,-122.25,2.697
6.5000,35.0,6.500000,1.050000,1200,2.400000,34.05,-118.24,3.950
5.8000,28.0,5.900000,1.020000,980,2.300000,34.10,-118.30,3.600
4.9000,18.0,5.200000,1.100000,1500,2.700000,36.77,-119.41,2.850
7.1000,45.0,7.300000,1.000000,700,2.100000,37.77,-122.42,4.750
